Year,Primary weight2-- Lbs/year --,Loss from primary to retail weight3-- Percent --,Retail weight3-- Lbs/year --,Loss from retail/ institutional to consumer level-- Percent --,Consumer weight-- Lbs/year --,Loss at consumer level: Nonedible share -- Percent --,Loss at consumer level: Edible weight -- Lbs/year --,Loss at consumer level: Other (cooking loss and uneaten food) -- Percent --,"Total loss, all levels -- Percent --",Per capita availability adjusted for loss -- Lbs/year --,Per capita availability adjusted for loss -- Oz/day --,Per capita availability adjusted for loss -- G/day --,Calories per ounce equivalent (oz-eq)4 -- Number --,Ounce-equivalent4 -- Ounces -- ,Calories available daily5 -- Number --,Food pattern equivalents6 -- Ounce-eq --,,,,,,,,,
1970,114.4,30.2,79.8,4.3,76.4,0.0,76.4,20.0,46.6,61.1,2.7,75.9,82.0,1.0,219.6,2.68,,,,,,,,,
1971,113.4,30.2,79.2,4.3,75.7,0.0,75.7,20.0,46.6,60.6,2.7,75.3,82.0,1.0,217.8,2.66,,,,,,,,,
1972,115.3,30.2,80.5,4.3,77.0,0.0,77.0,20.0,46.6,61.6,2.7,76.5,82.0,1.0,221.3,2.70,,,,,,,,,
1973,108.8,30.2,76.0,4.3,72.7,0.0,72.7,20.0,46.6,58.1,2.5,72.2,82.0,1.0,208.9,2.55,,,,,,,,,
1974,115.7,30.2,80.7,4.3,77.2,0.0,77.2,20.0,46.6,61.8,2.7,76.8,82.0,1.0,222.1,2.71,,,,,,,,,
1975,119.1,30.2,83.2,4.3,79.5,0.0,79.5,20.0,46.6,63.6,2.8,79.1,82.0,1.0,228.7,2.79,,,,,,,,,
1976,127.2,30.2,88.8,4.3,84.9,0.0,84.9,20.0,46.6,67.9,3.0,84.4,82.0,1.0,244.2,2.98,,,,,,,,,
1977,123.7,30.2,86.3,4.3,82.6,0.0,82.6,20.0,46.6,66.1,2.9,82.1,82.0,1.0,237.5,2.90,,,,,,,,,
1978,117.7,30.2,82.2,4.3,78.6,0.0,78.6,20.0,46.6,62.9,2.8,78.2,82.0,1.0,226.1,2.76,,,,,,,,,
1979,105.3,30.2,73.5,4.3,70.3,0.0,70.3,20.0,46.6,56.3,2.5,69.9,82.0,1.0,202.2,2.47,,,,,,,,,
1980,103.3,30.2,72.1,4.3,68.9,0.0,68.9,20.0,46.6,55.2,2.4,68.5,82.0,1.0,198.2,2.42,,,,,,,,,
1981,104.3,30.2,72.8,4.3,69.6,0.0,69.6,20.0,46.6,55.7,2.4,69.2,82.0,1.0,200.2,2.44,,,,,,,,,
1982,103.9,30.2,72.5,4.3,69.4,0.0,69.4,20.0,46.6,55.5,2.4,68.9,82.0,1.0,199.4,2.43,,,,,,,,,
1983,106.1,30.2,74.1,4.3,70.9,0.0,70.9,20.0,46.6,56.7,2.5,70.4,82.0,1.0,203.7,2.48,,,,,,,,,
1984,105.8,30.2,73.8,4.3,70.6,0.0,70.6,20.0,46.6,56.5,2.5,70.2,82.0,1.0,203.1,2.48,,,,,,,,,
1985,106.8,30.2,74.6,4.3,71.3,0.0,71.3,20.0,46.6,57.1,2.5,70.9,82.0,1.0,205.1,2.50,,,,,,,,,
1986,107.8,31.0,74.4,4.3,71.1,0.0,71.1,20.0,47.2,56.9,2.5,70.7,82.0,1.0,204.5,2.49,,,,,,,,,
1987,103.8,33.0,69.5,4.3,66.5,0.0,66.5,20.0,48.7,53.2,2.3,66.1,82.0,1.0,191.3,2.33,,,,,,,,,
1988,102.8,33.3,68.6,4.3,65.6,0.0,65.6,20.0,49.0,52.5,2.3,65.2,82.0,1.0,188.6,2.30,,,,,,,,,
1989,97.7,33.3,65.1,4.3,62.3,0.0,62.3,20.0,49.0,49.9,2.2,62.0,82.0,1.0,179.2,2.19,,,,,,,,,
1990,95.8,33.3,63.9,4.3,61.1,0.0,61.1,20.0,49.0,48.9,2.1,60.8,82.0,1.0,175.8,2.14,,,,,,,,,
1991,94.9,33.7,62.9,4.3,60.2,0.0,60.2,20.0,49.3,48.1,2.1,59.8,82.0,1.0,173.0,2.11,,,,,,,,,
1992,94.1,33.7,62.4,4.3,59.7,0.0,59.7,20.0,49.3,47.8,2.1,59.4,82.0,1.0,171.7,2.09,,,,,,,,,
1993,92.0,33.7,61.0,4.3,58.3,0.0,58.3,20.0,49.3,46.7,2.0,58.0,82.0,1.0,167.8,2.05,,,,,,,,,
1994,95.2,33.9,62.9,4.3,60.2,0.0,60.2,20.0,49.4,48.1,2.1,59.8,82.0,1.0,173.0,2.11,,,,,,,,,
1995,95.5,33.5,63.5,4.3,60.8,0.0,60.8,20.0,49.1,48.6,2.1,60.4,82.0,1.0,174.8,2.13,,,,,,,,,
1996,95.7,33.1,64.0,4.3,61.2,0.0,61.2,20.0,48.8,49.0,2.1,60.9,82.0,1.0,176.1,2.15,,,,,,,,,
1997,93.6,33.1,62.6,4.3,59.9,0.0,59.9,20.0,48.8,47.9,2.1,59.6,82.0,1.0,172.3,2.10,,,,,,,,,
1998,95.0,33.1,63.6,4.3,60.8,0.0,60.8,20.0,48.8,48.6,2.1,60.4,82.0,1.0,174.8,2.13,,,,,,,,,
1999,96.2,33.1,64.3,4.3,61.5,0.0,61.5,20.0,48.8,49.2,2.2,61.2,82.0,1.0,177.0,2.16,,,,,,,,,
2000,96.5,33.1,64.5,4.3,61.7,0.0,61.7,20.0,48.8,49.4,2.2,61.4,82.0,1.0,177.6,2.17,,,,,,,,,
2001,94.3,33.1,63.1,4.3,60.4,0.0,60.4,20.0,48.8,48.3,2.1,60.0,82.0,1.0,173.6,2.12,,,,,,,,,
2002,96.4,33.1,64.5,4.3,61.7,0.0,61.7,20.0,48.8,49.4,2.2,61.3,82.0,1.0,177.5,2.16,,,,,,,,,
2003,92.6,33.1,61.9,4.3,59.3,0.0,59.3,20.0,48.8,47.4,2.1,58.9,82.0,1.0,170.4,2.08,,,,,,,,,
2004,94.2,33.1,63.0,4.3,60.3,0.0,60.3,20.0,48.8,48.2,2.1,59.9,82.0,1.0,173.3,2.11,,,,,,,,,
2005,93.4,33.1,62.5,4.3,59.8,0.0,59.8,20.0,48.8,47.8,2.1,59.4,82.0,1.0,171.8,2.10,,,,,,,,,
2006,93.8,33.1,62.8,4.3,60.0,0.0,60.0,20.0,48.8,48.0,2.1,59.7,82.0,1.0,172.7,2.11,,,,,,,,,
2007,92.9,33.1,62.1,4.3,59.4,0.0,59.4,20.0,48.8,47.5,2.1,59.1,82.0,1.0,170.9,2.08,,,,,,,,,
2008,88.8,33.1,59.4,4.3,56.8,0.0,56.8,20.0,48.8,45.4,2.0,56.5,82.0,1.0,163.3,1.99,,,,,,,,,
2009,86.8,33.1,58.1,4.3,55.6,0.0,55.6,20.0,48.8,44.4,1.9,55.2,82.0,1.0,159.8,1.95,,,,,,,,,
2010,84.7,33.1,56.7,4.3,54.2,0.0,54.2,20.0,48.8,43.4,1.9,53.9,82.0,1.0,155.9,1.90,,,,,,,,,
2011,81.3,33.1,54.4,4.3,52.1,0.0,52.1,20.0,48.8,41.6,1.8,51.7,82.0,1.0,149.7,1.83,,,,,,,,,
2012,81.5,33.1,54.5,4.3,52.2,0.0,52.2,20.0,48.8,41.7,1.8,51.9,82.0,1.0,150.0,1.83,,,,,,,,,
2013,80.1,33.1,53.6,4.3,51.3,0.0,51.3,20.0,48.8,41.0,1.8,51.0,82.0,1.0,147.4,1.80,,,,,,,,,
2014,77.0,33.1,51.5,4.3,49.3,0.0,49.3,20.0,48.8,39.4,1.7,49.0,82.0,1.0,141.8,1.73,,,,,,,,,
2015,76.8,33.1,51.4,4.3,49.2,0.0,49.2,20.0,48.8,39.3,1.7,48.9,82.0,1.0,141.4,1.72,,,,,,,,,
2016,79.1,33.1,52.9,4.3,50.6,0.0,50.6,20.0,48.8,40.5,1.8,50.3,82.0,1.0,145.6,1.78,,,,,,,,,
2017,81.1,33.1,54.3,4.3,51.9,0.0,51.9,20.0,48.8,41.5,1.8,51.6,82.0,1.0,149.3,1.82,,,,,,,,,
2018,81.5,33.1,54.5,4.3,52.1,0.0,52.1,20.0,48.8,41.7,1.8,51.8,82.0,1.0,149.9,1.83,,,,,,,,,
2019,82.5,33.1,55.2,4.3,52.8,0.0,52.8,20.0,48.8,42.2,1.9,52.5,82.0,1.0,151.9,1.85,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,